time,ids,post,likes,shares,link
2020-09-18 21:00:00,3374405132653407,"TATA ACE ki 15th anniversary par manaiye hamare saath jashan apna khud ka kaarobaar shuru karke. Kharidiye koi bhi TATA ACE variant aur saath mein paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs:  http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",3.7K,79 comments,https://www.facebook.com/TataMotorsGroup/posts/3374405132653407
-1,3374398649320722,,,,https://www.facebook.com/TataMotorsGroup/posts/3374398649320722
2020-09-18 19:46:00,3374351375992116,"Tata Motors M&HCV BS6 Range is powered with Cummins ISBe 6.7l, ISBe 5.6l and TATA 5.0l engines. World renowned for their excellent fuel economy and low maintenance, these powertrains ensure lower Total Cost of Ownership.  
#TataMotorsBS6Trucks",5K,45 comments,https://www.facebook.com/TataMotorsGroup/posts/3374351375992116
2020-09-18 19:30:00,3373979569362630,"Your business will see great growth with the strong performance of TATA YODHA BS6. Its 215/75 R 16 radial tyres cross every difficulty to help you reach success. To know more, click here: https://bit.ly/31ZZtWv #TataYodhaBS6",3.1K,12 comments,https://www.facebook.com/TataMotorsGroup/posts/3373979569362630
2020-09-18 19:00:00,3373973866029867,कारोबार में होगी शानदार तरक्की TATA YODHA BS6 की दमदार परफॉरमेंस के साथ। YODHA के 215/75 R 16 रेडियल टायर्स पार करें हर मुश्किल और पहुचाएं आपको सफलता तक। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6,3.7K,10 comments,https://www.facebook.com/TataMotorsGroup/posts/3373973866029867
2020-09-18 18:00:00,3373962986030955,Achieve your dreams with India's Smart Pickup. TATA INTRA V30 BS6 offers you world-class features to take your business to the next level. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6,96,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3373962986030955
2020-09-18 17:19:00,3373921599368427,भारत के स्मार्ट पिकअप के साथ अपने सपनों को पूरा करें। TATA INTRA V30 BS6 आपको अपने व्यवसाय को अगले स्तर तक ले जाने के लिए विश्व स्तरीय सुविधाएँ प्रदान करता है। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,107,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3373921599368427
-1,3373889322704988,,,,https://www.facebook.com/TataMotorsGroup/posts/3373889322704988
2020-09-17 21:30:00,3371409136286340,"Tata Motors presents INDiLEASE, an industry first maintenance backed lease offering. Now expand your fleet of Tata Motors Commercial Vehicles at low cost of ownership. #TataIndiLease",189,14 comments,https://www.facebook.com/TataMotorsGroup/posts/3371409136286340
2020-09-17 20:58:00,3371401109620476,"Tata Motors लाए हैं INDiLEASE, एक आसान और अनुकूलित व्यवसाय समाधान Tata Motors Commercial Vehicles के मालिक  बनने का। तो अपने व्यवसाय को अगले स्तर पर ले जाएं कम कॉस्ट ऑफ़ ओनरशिप और व्हीकल मेंटेनेंस और रिसेल की बिना चिंता करे। #TataIndiLease",113,4 comments,https://www.facebook.com/TataMotorsGroup/posts/3371401109620476
2020-09-17 20:37:00,3371351419625445,"Tata Motors M&HCV BS6 Range switches on maximum fuel efficiency and savings with the multimode Intelligent Fuel Economy Switch that optimizes fuel consumption depending on road, load and speed conditions.  
#TataMotorsBS6Trucks",316,9 comments,https://www.facebook.com/TataMotorsGroup/posts/3371351419625445
2020-09-17 17:34:00,3370903229670264,"In an exclusive story by Motorindia, the team spoke to Mr. Jasjit Sethi, CEO, Supply Chain, Transport Corporation of India, to discuss the contribution towards India's freight movement and their six-decade long association with us. To know more visit https://www.motorindiaonline.in/.../shipping-hope-across.../. 
#ConnectingAspirations",158,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3370903229670264
2020-09-17 16:59:00,3370820486345205,"Manaiye jashan apni kaamyabi aur TATA ACE ki 15th anniversary ka. Ghar le aiye TATA ACE GOLD Diesel aur saath mein paiye LED TV, low interest rate of 5.99% aur Free Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs:  http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",11K,60 comments,https://www.facebook.com/TataMotorsGroup/posts/3370820486345205
-1,3370741116353142,,,,https://www.facebook.com/TataMotorsGroup/posts/3370741116353142
